Model,MR,CR,SUBJ,MPQA,SST5,TREC
Glove_300D,75.44,78.36,91.24,87.11,41.36,67
SHAP-Algo_50D,73.44,76.96,85.9,84.83,35.52,46
SHAP-Algo_100D,75.03,79.21,90.33,86.59,39.55,56.4
SHAP-Algo_150D,75.64,79.5,90.86,87.05,41.63,61.4
SHAP-Algo_200D,75.64,78.94,90.63,87.18,40.9,63
SHAP-PPE_50D,73.51,78.62,88.95,85.75,35.84,48
SHAP-PPE_100D,75.35,79.05,90.45,87.26,39.32,53.6
SHAP-PPE_150D,75.94,79.39,90.86,87.38,40.72,61.6
SHAP-PPE_200D,75.89,79.07,90.79,87.25,41.9,63
SHAP_50D,73.05,78.76,90.32,85.94,36.52,54.4
SHAP_100D,75.72,79.47,90.91,87,38.82,64
SHAP_150D,75.77,79.92,91.28,87.42,39.59,67
SHAP_200D,75.92,78.81,91.13,87.17,41.04,66.6